# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 1.3909098357331422,2.7573044847621766,3.2666955001053064,-0.29172553680883745,1.3909098357331426,1.0,-0.000006296280094520433,180.0,-0.0005373699259534449,0.0
 1.3989325936812482,2.7684954549607,3.266638519150066,-0.2917298479976819,1.3989325936812487,1.0,0.00000629084523098601,180.0,0.0004614653913793158,0.0
 1.4069137818434092,2.779692303763002,3.266581508982561,-0.291726164955563,1.4069137818434096,1.0,0.00001832775342793685,180.0,0.0014693336226085678,0.0
 1.414853306666704,2.7908939034991356,3.2665244769058583,-0.29171449914479264,1.4148533066667044,1.0,0.00003077952239787306,180.0,0.002487024497278166,0.0
 1.422751073031773,2.802099126499151,3.2664674302230234,-0.2916948572063689,1.4227510730317734,1.0,0.000043055368604060625,180.0,0.0035153482796197546,0.0
 1.4306069842685532,2.8133068450931,3.2664103762371224,-0.29166724094231783,1.4306069842685534,0.9999999999999717,0.00005562895809482623,180.0,0.0045510611015787,0.0
 1.43842793021174,2.824515931611034,3.266353322251222,-0.2916316473394583,1.4358574562585462,0.6713346477693994,0.00006790664859954997,180.0,0.005566926162481985,0.0
 1.446256083259626,2.835725258383004,3.2662962755683873,-0.2915880685894521,1.4280293032106604,-0.9999999999999717,0.00008027809417221497,180.0,0.00655300004630122,0.0
 1.454126760850993,2.8469336977390625,3.2662392434916847,-0.2915364920388314,1.4201586256192935,-1.0,0.0000928214290058798,180.0,0.007530765746578107,0.0
 1.4620398754645216,2.85814012200926,3.2661822333241797,-0.2914769002263511,1.4122455110057648,-1.0,0.00010539297276239543,180.0,0.008500998352401593,0.0
 1.4699953414587603,2.8693434035236485,3.2661252523689392,-0.2914092708230415,1.404290045011526,-1.0,0.00011791235911922641,180.0,0.009464453648164726,0.0
 1.47799307509939,2.8805424146122784,3.2660683079290282,-0.2913335766437094,1.3962923113708965,-1.0,0.00013063502122199902,180.0,0.010421879763756726,0.0
 1.4860329945883495,2.891736027605202,3.2660114073075137,-0.29124978556948516,1.388252391881937,-1.0,0.0001433837349414348,180.0,0.011374007365794414,0.0
 1.4941150200949096,2.9029231148324706,3.2659545578074605,-0.291157860551843,1.3801703663753768,-1.0,0.00015616726886087968,180.0,0.012321562390777285,0.0
 1.5022390737887914,2.914102548624135,3.2658977667319355,-0.2910577595173878,1.3720463126814948,-1.0000000000000273,0.0001691699921363873,180.0,0.01326525677276865,0.0
 1.5104050798754318,2.9252732013102474,3.265841041384005,-0.2909494353498406,1.3638803065948542,-1.000000000000027,0.00018225331289450564,180.0,0.014205795990915262,0.0
 1.5186129646335043,2.936433945220859,3.2657843890667335,-0.29083283581345043,1.355672421836782,-0.9999999999999729,0.00019546976250238096,180.0,0.01514388271023397,0.0
 1.5268626564548076,2.947583652686021,3.2657278170831887,-0.29070790344811304,1.3474227300154786,-1.0,0.00020886067434247615,180.0,0.016080206613567988,0.0
 1.5351540858866521,2.958721196035785,3.2656713327364355,-0.29057457554972715,1.339131300583634,-1.0,0.0002222784187526703,180.0,0.01701546002894428,0.0
 1.5434871856768697,2.9698454476002025,3.26561494332954,-0.2904327840233295,1.3307982007934165,-1.0,0.0002359942211942306,180.0,0.01795032883271834,0.0
 1.5518618908215887,2.980955279709324,3.265558656165569,-0.2902824553121047,1.3224234956486975,-1.0,0.0002499001081848946,180.0,0.018885496459453695,0.0
 1.5602781386159295,2.992049564693202,3.2655024785475875,-0.2901235102941828,1.3140072478543567,-1.0,0.0002639108310644823,180.0,0.01982164797365263,0.0
 1.56873586870777,3.0031271748818877,3.2654464177786617,-0.2899558641456462,1.3055495177625163,-1.0,0.0002782160836330378,180.0,0.020759467244018708,0.0
 1.5772350231547636,3.014186982605432,3.2653904811618584,-0.289779426227302,1.2970503633155224,-1.0000000000000262,0.000292691989938587,180.0,0.021699638847107808,0.0
 1.5857755464847878,3.025227860193887,3.2653346760002426,-0.2895940999554752,1.288509839985498,-1.000000000000026,0.00030743917280998405,180.0,0.022642852553747497,0.0
 1.5943573857600173,3.0362486799773034,3.2652790095968807,-0.2893997826341262,1.2799280007102685,-1.0,0.00032244645458114545,180.0,0.02358980013745694,0.0
 1.6029804906448357,3.0472483142857336,3.2652234892548386,-0.289196365313329,1.27130489582545,-1.0,0.0003377368907382125,180.0,0.02454117902123526,0.0
 1.611644813477806,3.0582256354492277,3.2651681222771827,-0.2889837326155873,1.2626405729924797,-1.0,0.00035330175088724023,180.0,0.025497692714834267,0.0
 1.6203503093479477,3.069179515797838,3.2651129159669785,-0.2887617625569602,1.253935077122338,-1.0,0.00036916381469721295,180.0,0.026460052761838205,0.0
 1.6290969361755678,3.0801088276616158,3.265057877627292,-0.28853032634961323,1.245188450294718,-1.0,0.0003853718750601779,180.0,0.027428980125513105,0.0
 1.637884654797932,3.0910124433706123,3.2650030145611897,-0.2882892881901718,1.2364007316723538,-1.0,0.000401916165112273,180.0,0.028405202884105977,0.0
 1.646713429060068,3.101889235254879,3.264948334071737,-0.28803850506603784,1.2275719574102177,-1.0,0.00041884152330576855,180.0,0.029389465105126876,0.0
 1.6555832259110215,3.1127380756444674,3.264893843462,-0.2877778264809972,1.2187021605592643,-1.0,0.0004361136326911963,180.0,0.03038251989046365,0.0
 1.664494015505907,3.123557836869429,3.2648395500350453,-0.2875070942388908,1.2097913709643788,-1.0,0.0004538253474783403,180.0,0.03138513561406583,0.0
 1.673445771314121,3.1343473912598143,3.264785461093938,-0.28722614216886605,1.2008396151561647,-1.0,0.00047196601842853055,180.0,0.03239809784042271,0.0
 1.6824384702341186,3.145105611145676,3.2647315839417446,-0.2869347958294065,1.1918469162361671,-1.0,0.0004905508541927475,180.0,0.0334222069249195,0.0
 1.6914720927151707,3.1558313688570645,3.2646779258815313,-0.2866328722295632,1.182813293755115,-1.0,0.0005096173495280515,180.0,0.034458282932941904,0.0
 1.7005466228865735,3.166523536724032,3.264624494216364,-0.28632017950143346,1.1737387635837122,-1.0,0.0005291791926128509,180.0,0.03550716624664269,0.0
 1.7096620486947964,3.177180987076629,3.2645712962493074,-0.28599651656185193,1.1646233377754893,-1.0,0.000549271543108398,180.0,0.036569720828923805,0.0
